Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50.00,1200.00,600000.00,300000.00,50%,In-store
Foot Locker,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,1000.00,500000.00,150000.00,30%,In-store
Foot Locker,1/3/2020,Northeast,New York,New York,Women's Street Footwear,40.00,1000.00,400000.00,140000.00,35%,In-store
Foot Locker,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,850.00,382500.00,133875.00,35%,In-store
Foot Locker,1/5/2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,30%,In-store
Foot Locker,1/6/2020,Northeast,New York,New York,Women's Apparel,50.00,1000.00,500000.00,125000.00,25%,In-store
Foot Locker,1/7/2020,Northeast,New York,New York,Men's Street Footwear,50.00,1250.00,625000.00,312500.00,50%,In-store
Foot Locker,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900.00,450000.00,135000.00,30%,Outlet
Foot Locker,1/21/2020,Northeast,New York,New York,Women's Street Footwear,40.00,950.00,380000.00,133000.00,35%,Outlet
Foot Locker,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825.00,371250.00,129937.50,35%,Outlet
Foot Locker,1/23/2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,30%,Outlet
Foot Locker,1/24/2020,Northeast,New York,New York,Women's Apparel,50.00,1000.00,500000.00,125000.00,25%,Outlet
Foot Locker,1/25/2020,Northeast,New York,New York,Men's Street Footwear,50.00,1220.00,610000.00,305000.00,50%,Outlet
Foot Locker,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,925.00,462500.00,138750.00,30%,Outlet
Foot Locker,1/27/2020,Northeast,New York,New York,Women's Street Footwear,40.00,950.00,380000.00,133000.00,35%,Outlet
Foot Locker,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,800.00,360000.00,126000.00,35%,Outlet
Foot Locker,1/29/2020,Northeast,New York,New York,Men's Apparel,60.00,850.00,510000.00,153000.00,30%,Outlet
Foot Locker,1/30/2020,Northeast,New York,New York,Women's Apparel,50.00,950.00,475000.00,118750.00,25%,Outlet
Foot Locker,1/31/2020,Northeast,New York,New York,Men's Street Footwear,50.00,1200.00,600000.00,300000.00,50%,Outlet
Foot Locker,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900.00,450000.00,135000.00,30%,Outlet
Foot Locker,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40.00,900.00,360000.00,126000.00,35%,Outlet
Foot Locker,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825.00,371250.00,129937.50,35%,Outlet
Foot Locker,2/4/2020,Northeast,New York,New York,Men's Apparel,60.00,825.00,495000.00,148500.00,30%,Outlet
Foot Locker,2/5/2020,Northeast,New York,New York,Women's Apparel,50.00,950.00,475000.00,118750.00,25%,Outlet
Foot Locker,2/6/2020,Northeast,New York,New York,Men's Street Footwear,60.00,1220.00,732000.00,366000.00,50%,Outlet
Foot Locker,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,925.00,508750.00,152625.00,30%,Outlet
Foot Locker,2/8/2020,Northeast,New York,New York,Women's Street Footwear,50.00,900.00,450000.00,157500.00,35%,Outlet
Foot Locker,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,850.00,425000.00,148750.00,35%,Outlet
Foot Locker,2/10/2020,Northeast,New York,New York,Men's Apparel,60.00,875.00,525000.00,157500.00,30%,Outlet
Foot Locker,3/3/2020,Northeast,New York,New York,Women's Apparel,65.00,1000.00,650000.00,162500.00,25%,Outlet
Foot Locker,3/4/2020,Northeast,New York,New York,Men's Street Footwear,60.00,1250.00,750000.00,375000.00,50%,Outlet
Foot Locker,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000.00,550000.00,165000.00,30%,Outlet
Foot Locker,3/6/2020,Northeast,New York,New York,Women's Street Footwear,50.00,925.00,462500.00,161875.00,35%,Outlet
Foot Locker,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900.00,450000.00,157500.00,35%,Outlet
Foot Locker,3/8/2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,30%,Outlet
Foot Locker,3/9/2020,Northeast,New York,New York,Women's Apparel,65.00,1050.00,682500.00,170625.00,25%,Outlet
Foot Locker,3/10/2020,Northeast,New York,New York,Men's Street Footwear,60.00,1275.00,765000.00,382500.00,50%,Outlet
Foot Locker,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025.00,563750.00,169125.00,30%,Outlet
Foot Locker,3/12/2020,Northeast,New York,New York,Women's Street Footwear,50.00,950.00,475000.00,166250.00,35%,Outlet
Foot Locker,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900.00,450000.00,157500.00,35%,Outlet
Foot Locker,3/14/2020,Northeast,New York,New York,Men's Apparel,60.00,925.00,555000.00,166500.00,30%,Outlet
Foot Locker,3/15/2020,Northeast,New York,New York,Women's Apparel,65.00,1100.00,715000.00,178750.00,25%,Outlet
Foot Locker,3/16/2020,Northeast,New York,New York,Men's Street Footwear,60.00,1250.00,750000.00,375000.00,50%,Outlet
Foot Locker,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025.00,563750.00,169125.00,30%,Outlet
Foot Locker,3/18/2020,Northeast,New York,New York,Women's Street Footwear,50.00,950.00,475000.00,166250.00,35%,Outlet
Foot Locker,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,925.00,462500.00,161875.00,35%,Outlet
Walmart,4/17/2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,30%,Outlet
Walmart,4/18/2020,Northeast,New York,New York,Women's Apparel,65.00,1075.00,698750.00,174687.50,25%,Outlet
Walmart,4/19/2020,Northeast,New York,New York,Men's Street Footwear,60.00,1200.00,720000.00,360000.00,50%,Outlet
Walmart,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000.00,550000.00,165000.00,30%,Outlet
Walmart,4/21/2020,Northeast,New York,New York,Women's Street Footwear,50.00,925.00,462500.00,161875.00,35%,Outlet
Walmart,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900.00,450000.00,157500.00,35%,Outlet
Walmart,4/23/2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,30%,Outlet
Walmart,4/24/2020,Northeast,New York,New York,Women's Apparel,65.00,1000.00,650000.00,162500.00,25%,Outlet
Walmart,4/25/2020,Northeast,New York,New York,Men's Apparel,65.00,875.00,568750.00,170625.00,30%,Outlet
Walmart,4/26/2020,Northeast,New York,New York,Women's Apparel,70.00,1000.00,700000.00,175000.00,25%,Outlet
Walmart,4/27/2020,Northeast,New York,New York,Men's Street Footwear,65.00,1150.00,747500.00,373750.00,50%,Outlet
Walmart,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,975.00,536250.00,160875.00,30%,Outlet
